Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-177,1deg,1.82600934594186
272.5GHz,-177,2deg,1.33404027783051
272.5GHz,-177,3deg,0.637290903078662
272.5GHz,-177,4deg,-0.235383788059572
272.5GHz,-177,5deg,-1.26617948798291
272.5GHz,-177,6deg,-2.45838031624341
272.5GHz,-177,7deg,-3.83997079026883
272.5GHz,-177,8deg,-5.46277956791656
272.5GHz,-177,9deg,-7.39992348832469
272.5GHz,-177,10deg,-9.74064420703509
272.5GHz,-177,11deg,-12.581338235963
272.5GHz,-177,12deg,-16.0070756480786
272.5GHz,-177,13deg,-19.8722299027668
272.5GHz,-177,14deg,-22.0291843535355
272.5GHz,-177,15deg,-19.6147931931151
272.5GHz,-177,16deg,-16.3100021375018
272.5GHz,-177,17deg,-13.8879186787699
272.5GHz,-177,18deg,-12.4029441593532
272.5GHz,-177,19deg,-11.7297723924586
272.5GHz,-177,20deg,-11.7328289941598
272.5GHz,-177,21deg,-12.2502141875916
272.5GHz,-177,22deg,-13.0640625447607
272.5GHz,-177,23deg,-13.9057195676502
272.5GHz,-177,24deg,-14.5444547726871
272.5GHz,-177,25deg,-14.9065847623385
272.5GHz,-177,26deg,-15.0622450162842
272.5GHz,-177,27deg,-15.0886907238419
272.5GHz,-177,28deg,-14.9873902840144
272.5GHz,-177,29deg,-14.733776533035
272.5GHz,-177,30deg,-14.3818291490504
272.5GHz,-177,31deg,-14.0613304160489
272.5GHz,-177,32deg,-13.83798982099
272.5GHz,-177,33deg,-13.5736307711996
272.5GHz,-177,34deg,-12.962876121209
272.5GHz,-177,35deg,-11.8694112668069
272.5GHz,-177,36deg,-10.5404219804599
272.5GHz,-177,37deg,-9.32466931205658
272.5GHz,-177,38deg,-8.42112604527748
272.5GHz,-177,39deg,-7.88041962535558
272.5GHz,-177,40deg,-7.66259018878475
272.5GHz,-177,41deg,-7.66381442048506
272.5GHz,-177,42deg,-7.72787008341758
272.5GHz,-177,43deg,-7.68934382145178
272.5GHz,-177,44deg,-7.46927740195143
272.5GHz,-177,45deg,-7.13988794378356
272.5GHz,-177,46deg,-6.87043120443123
272.5GHz,-177,47deg,-6.82705911355098
272.5GHz,-177,48deg,-7.12470948090823
272.5GHz,-177,49deg,-7.82374231083313
272.5GHz,-177,50deg,-8.92335924595893
272.5GHz,-177,51deg,-10.3066721783977
272.5GHz,-177,52deg,-11.6102585029157
272.5GHz,-177,53deg,-12.2194315747108
272.5GHz,-177,54deg,-11.8680617596808
272.5GHz,-177,55deg,-11.0239661017452
272.5GHz,-177,56deg,-10.2314711765889
272.5GHz,-177,57deg,-9.75139491707895
272.5GHz,-177,58deg,-9.67468770535494
272.5GHz,-177,59deg,-10.0426124683604
272.5GHz,-177,60deg,-10.90094388825
