Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal) []
272.5GHz,-179,176deg,-21.5354063163066
272.5GHz,-179,177deg,-22.0028031074357
272.5GHz,-179,178deg,-24.3268915805775
272.5GHz,-179,179deg,-28.0482736654752
272.5GHz,-179,180deg,-28.4027265486641
272.5GHz,-178,0deg,-3.73074629825835
272.5GHz,-178,1deg,-4.15619066543445
272.5GHz,-178,2deg,-4.74467241021893
272.5GHz,-178,3deg,-5.03236432819042
272.5GHz,-178,4deg,-4.62292828753021
272.5GHz,-178,5deg,-3.70340708785592
272.5GHz,-178,6deg,-2.75958209202168
272.5GHz,-178,7deg,-2.09101339560054
272.5GHz,-178,8deg,-1.78436546176618
272.5GHz,-178,9deg,-1.81970014046853
272.5GHz,-178,10deg,-2.13314396537045
272.5GHz,-178,11deg,-2.64965493056387
272.5GHz,-178,12deg,-3.30813264792409
272.5GHz,-178,13deg,-4.07280205687103
272.5GHz,-178,14deg,-4.91188434034936
272.5GHz,-178,15deg,-5.74962653652103
272.5GHz,-178,16deg,-6.4475719694263
272.5GHz,-178,17deg,-6.88671809286906
272.5GHz,-178,18deg,-7.09474034493215
272.5GHz,-178,19deg,-7.22770607951007
272.5GHz,-178,20deg,-7.42021072778027
272.5GHz,-178,21deg,-7.69064990530534
272.5GHz,-178,22deg,-7.95634471539949
272.5GHz,-178,23deg,-8.12486449628106
272.5GHz,-178,24deg,-8.19451634509048
272.5GHz,-178,25deg,-8.26618498478748
272.5GHz,-178,26deg,-8.46741069561091
272.5GHz,-178,27deg,-8.88339393773447
272.5GHz,-178,28deg,-9.5311474662359
272.5GHz,-178,29deg,-10.351263977407
272.5GHz,-178,30deg,-11.2075364806382
272.5GHz,-178,31deg,-11.9338269252063
272.5GHz,-178,32deg,-12.4596743815765
272.5GHz,-178,33deg,-12.900935001116
272.5GHz,-178,34deg,-13.4765468298168
272.5GHz,-178,35deg,-14.3378156378888
272.5GHz,-178,36deg,-15.391719887876
272.5GHz,-178,37deg,-16.0912226464927
272.5GHz,-178,38deg,-15.7124732707064
272.5GHz,-178,39deg,-14.4311141802904
272.5GHz,-178,40deg,-13.0273979619799
272.5GHz,-178,41deg,-11.9424834052302
272.5GHz,-178,42deg,-11.2929394942929
272.5GHz,-178,43deg,-11.0837332194287
272.5GHz,-178,44deg,-11.2983519792407
272.5GHz,-178,45deg,-11.9187881816886
272.5GHz,-178,46deg,-12.9153226008786
272.5GHz,-178,47deg,-14.2178991991749
272.5GHz,-178,48deg,-15.6829085289254
272.5GHz,-178,49deg,-17.1100020242549
272.5GHz,-178,50deg,-18.3772404290814
272.5GHz,-178,51deg,-19.5563172771995
272.5GHz,-178,52deg,-20.6862952652255
272.5GHz,-178,53deg,-21.2077871305057
272.5GHz,-178,54deg,-20.1656376727866
272.5GHz,-178,55deg,-18.0042676706069
272.5GHz,-178,56deg,-15.8570494047692
272.5GHz,-178,57deg,-14.1930228761461
272.5GHz,-178,58deg,-13.0809848942958
272.5GHz,-178,59deg,-12.4876297472624
272.5GHz,-178,60deg,-12.3659561676475
272.5GHz,-178,61deg,-12.6710816728311
272.5GHz,-178,62deg,-13.3532572849795
272.5GHz,-178,63deg,-14.3347179138158
272.5GHz,-178,64deg,-15.4644286315034
272.5GHz,-178,65deg,-16.465617893758
272.5GHz,-178,66deg,-16.9857357503337
272.5GHz,-178,67deg,-16.8614311959844
272.5GHz,-178,68deg,-16.2800461516201
272.5GHz,-178,69deg,-15.5472343420278
272.5GHz,-178,70deg,-14.8628909877309
272.5GHz,-178,71deg,-14.3093791765654
272.5GHz,-178,72deg,-13.9061156109519
272.5GHz,-178,73deg,-13.6476472675474
272.5GHz,-178,74deg,-13.5212282828074
272.5GHz,-178,75deg,-13.513388823263
272.5GHz,-178,76deg,-13.6116436406386
272.5GHz,-178,77deg,-13.8042824412491
272.5GHz,-178,78deg,-14.0795635145051
272.5GHz,-178,79deg,-14.4248941448205
272.5GHz,-178,80deg,-14.826253593499
272.5GHz,-178,81deg,-15.2679804631445
272.5GHz,-178,82deg,-15.7329986359654
272.5GHz,-178,83deg,-16.2035247910301
272.5GHz,-178,84deg,-16.6622349457946
272.5GHz,-178,85deg,-17.0937465094819
272.5GHz,-178,86deg,-17.4861264519044
272.5GHz,-178,87deg,-17.8320489189381
272.5GHz,-178,88deg,-18.1292837959761
272.5GHz,-178,89deg,-18.3804092276614
272.5GHz,-178,90deg,-18.5919023443907
272.5GHz,-178,91deg,-18.7729301984927
272.5GHz,-178,92deg,-18.9341666112171
272.5GHz,-178,93deg,-19.0868401854647
272.5GHz,-178,94deg,-19.2420664260731
272.5GHz,-178,95deg,-19.4104019002981
272.5GHz,-178,96deg,-19.6014993205081
272.5GHz,-178,97deg,-19.8237245944464
272.5GHz,-178,98deg,-20.083599873325
272.5GHz,-178,99deg,-20.3849536329812
272.5GHz,-178,100deg,-20.7277089108936
272.5GHz,-178,101deg,-21.10638063733
272.5GHz,-178,102deg,-21.5086782728839
272.5GHz,-178,103deg,-21.9151921942509
272.5GHz,-178,104deg,-22.3017945911462
272.5GHz,-178,105deg,-22.6462914850578
272.5GHz,-178,106deg,-22.9387810032128
272.5GHz,-178,107deg,-23.1913613367309
272.5GHz,-178,108deg,-23.4409395852112
272.5GHz,-178,109deg,-23.7423141593401
272.5GHz,-178,110deg,-24.1539793612407
272.5GHz,-178,111deg,-24.7190326220778
272.5GHz,-178,112deg,-25.4368890740704
272.5GHz,-178,113deg,-26.2168862760033
272.5GHz,-178,114deg,-26.8329488091146
272.5GHz,-178,115deg,-26.9995306064826
272.5GHz,-178,116deg,-26.6530009747823
272.5GHz,-178,117deg,-26.0741850399406
272.5GHz,-178,118deg,-25.6377222197957
272.5GHz,-178,119deg,-25.6205645207594
272.5GHz,-178,120deg,-26.2171059835167
272.5GHz,-178,121deg,-27.606279007712
272.5GHz,-178,122deg,-29.9388649102801
272.5GHz,-178,123deg,-32.7060017306696
272.5GHz,-178,124deg,-32.8143076985166
272.5GHz,-178,125deg,-30.1254855857748
272.5GHz,-178,126deg,-27.8510587991591
272.5GHz,-178,127deg,-26.6050831633716
272.5GHz,-178,128deg,-26.2488538500003
272.5GHz,-178,129deg,-26.5337972838975
272.5GHz,-178,130deg,-27.0418715175027
272.5GHz,-178,131deg,-27.2170961968113
272.5GHz,-178,132deg,-26.9000113541225
272.5GHz,-178,133deg,-26.5875008776673
272.5GHz,-178,134deg,-26.8776767316111
272.5GHz,-178,135deg,-28.1858292629346
272.5GHz,-178,136deg,-30.6697129795543
272.5GHz,-178,137deg,-32.6868264201505
272.5GHz,-178,138deg,-30.6815117782068
272.5GHz,-178,139deg,-27.9005142034668
272.5GHz,-178,140deg,-26.4445004017063
272.5GHz,-178,141deg,-26.421500394807
272.5GHz,-178,142deg,-27.8655433498272
272.5GHz,-178,143deg,-30.8916404221206
272.5GHz,-178,144deg,-34.2473998537105
272.5GHz,-178,145deg,-33.1432428826901
272.5GHz,-178,146deg,-30.7520653995622
272.5GHz,-178,147deg,-29.8737384800113
272.5GHz,-178,148deg,-30.3802515039225
272.5GHz,-178,149deg,-31.3597534210008
272.5GHz,-178,150deg,-30.7440200751968
272.5GHz,-178,151deg,-28.3527336463077
272.5GHz,-178,152deg,-26.0957827188851
272.5GHz,-178,153deg,-24.7503914660218
272.5GHz,-178,154deg,-24.4943947074019
272.5GHz,-178,155deg,-25.4199749695089
272.5GHz,-178,156deg,-27.2920376648227
272.5GHz,-178,157deg,-28.1042974238436
272.5GHz,-178,158deg,-26.1904592873577
272.5GHz,-178,159deg,-24.2996302331688
272.5GHz,-178,160deg,-23.8418004537706
272.5GHz,-178,161deg,-25.0154728953822
272.5GHz,-178,162deg,-27.14778850863
272.5GHz,-178,163deg,-26.6175051740033
272.5GHz,-178,164deg,-23.72892710199
272.5GHz,-178,165deg,-21.8936981142687
272.5GHz,-178,166deg,-21.5706313880212
272.5GHz,-178,167deg,-22.3671735523722
272.5GHz,-178,168deg,-23.002951761291
272.5GHz,-178,169deg,-22.1237176893653
272.5GHz,-178,170deg,-20.9169562187139
272.5GHz,-178,171deg,-20.8012354972066
272.5GHz,-178,172deg,-22.2641439798331
272.5GHz,-178,173deg,-24.9534226359169
272.5GHz,-178,174deg,-25.3671824179495
272.5GHz,-178,175deg,-22.9369600780823
272.5GHz,-178,176deg,-21.5685208341769
272.5GHz,-178,177deg,-22.0051348019715
272.5GHz,-178,178deg,-24.302067749424
272.5GHz,-178,179deg,-28.0164889912776
272.5GHz,-178,180deg,-28.4027265486641
272.5GHz,-177,0deg,-3.73074629825835
272.5GHz,-177,1deg,-4.19594974102636
272.5GHz,-177,2deg,-4.8199697799226
272.5GHz,-177,3deg,-5.12760111717106
272.5GHz,-177,4deg,-4.72389790425789
272.5GHz,-177,5deg,-3.81489126956935
272.5GHz,-177,6deg,-2.89624441917975
272.5GHz,-177,7deg,-2.26553240805998
272.5GHz,-177,8deg,-2.00492438693727
272.5GHz,-177,9deg,-2.08933799047842
272.5GHz,-177,10deg,-2.44833924580839
272.5GHz,-177,11deg,-2.99859236554303
272.5GHz,-177,12deg,-3.66941720574143
272.5GHz,-177,13deg,-4.41532112222052
272.5GHz,-177,14deg,-5.19757582199887
272.5GHz,-177,15deg,-5.94382017506724
272.5GHz,-177,16deg,-6.5393101266014
272.5GHz,-177,17deg,-6.90068686789331
272.5GHz,-177,18deg,-7.06782638865869
272.5GHz,-177,19deg,-7.17309795568817
272.5GHz,-177,20deg,-7.31730440997042
272.5GHz,-177,21deg,-7.4937350914338
272.5GHz,-177,22deg,-7.60890029215419
272.5GHz,-177,23deg,-7.57816849614625
272.5GHz,-177,24deg,-7.41653840333897
272.5GHz,-177,25deg,-7.22706575505451
272.5GHz,-177,26deg,-7.11901102155142
272.5GHz,-177,27deg,-7.15752789321295
272.5GHz,-177,28deg,-7.36563965190518
272.5GHz,-177,29deg,-7.74463871090537
272.5GHz,-177,30deg,-8.28869705586968
272.5GHz,-177,31deg,-8.99054660044254
272.5GHz,-177,32deg,-9.8468724712271
272.5GHz,-177,33deg,-10.8699219284728
272.5GHz,-177,34deg,-12.0959806505004
272.5GHz,-177,35deg,-13.5580107854973
272.5GHz,-177,36deg,-15.1495420501703
272.5GHz,-177,37deg,-16.2875206165697
272.5GHz,-177,38deg,-15.9799947614841
272.5GHz,-177,39deg,-14.3463138865263
272.5GHz,-177,40deg,-12.4494971715907
272.5GHz,-177,41deg,-10.8681864317873
272.5GHz,-177,42deg,-9.74774987371699
272.5GHz,-177,43deg,-9.1008491316796
272.5GHz,-177,44deg,-8.91212099359481
272.5GHz,-177,45deg,-9.15906400323501
272.5GHz,-177,46deg,-9.80819933623578
272.5GHz,-177,47deg,-10.801006849376
272.5GHz,-177,48deg,-12.0317513903531
272.5GHz,-177,49deg,-13.3215155232226
272.5GHz,-177,50deg,-14.4076732910786
272.5GHz,-177,51deg,-14.9901722581585
272.5GHz,-177,52deg,-14.8684920807009
272.5GHz,-177,53deg,-14.0916166203259
272.5GHz,-177,54deg,-12.9286061951116
272.5GHz,-177,55deg,-11.6777831192377
272.5GHz,-177,56deg,-10.5411936088787
272.5GHz,-177,57deg,-9.61951354705829
272.5GHz,-177,58deg,-8.94855173524933
272.5GHz,-177,59deg,-8.52989385767455
